"category","Male","Female"
"95+","6810","10424"
"90-94","13191","17215"
"85-89","36888","41439"
"80-84","78315","83241"
"75-79","170998","182205"
"70-74","292054","317316"
"65-69","379689","391929"
"60-64","465962","489642"
"55-59","537558","538386"
"50-54","692494","721358"
"45-49","687525","748515"
"40-44","828493","919339"
"35-39","936931","1104561"
"30-34","978976","1168736"
"25-29","1122242","1337107"
"20-24","1301018","1482042"
"15-19","1494523","1471881"
"10-14","1495954","1413911"
"05-09","1443405","1323022"
"00-04","1290525","1148758"