गाउँपालका/नगरपालकाको नाम, वडा नं.,स्थलको जम्मा मतदाता सन्ख्या,मतदान स्थल कोड, मतदनकेन्द्रको नाम,मतदाता सन्ख्या,समावेश हुने मतदाताहरूक
बुढीगंगा गाउँपालिका,1,2353,5595,नरग्राम मा.वि. टंकिसिनुवारीबजार (क),784,क्र.सं. 1 देखि 784 सम्म
बुढीगंगा गाउँपालिका,1,2353,5595,नरग्राम मा.वि. टंकिसिनुवारीबजार (ख),784,क्र.सं. 785 देखि 1568 सम्म
बुढीगंगा गाउँपालिका,1,2353,5595,नरग्राम मा.वि. टंकिसिनुवारीबजार (ग),785,क्र.सं. 1569 देखि 2353 सम्म
बुढीगंगा गाउँपालिका,1,3320,5607,करैया देवस्थल करैयाटोल (क),812,क्र.सं. 1 देखि 812 सम्म
बुढीगंगा गाउँपालिका,1,3320,5607,करैया देवस्थल करैयाटोल (ख),812,क्र.सं. 813 देखि 1624 सम्म
बुढीगंगा गाउँपालिका,1,3320,5607,करैया देवस्थल करैयाटोल (ग),840,क्र.सं. 1625 देखि 2464 सम्म
बुढीगंगा गाउँपालिका,1,3320,5607,करैया देवस्थल करैयाटोल (घ),856,क्र.सं. 2465 देखि 3320 सम्म
बुढीगंगा गाउँपालिका,2,2026,5621,मधुग्राम देवता आ.वि. बौराहा (क),1008,क्र.सं. 1 देखि 1008 सम्म
बुढीगंगा गाउँपालिका,2,2026,5621,मधुग्राम देवता आ.वि. बौराहा (ख),1018,क्र.सं. 1009 देखि 2026 सम्म
बुढीगंगा गाउँपालिका,2,3280,12004,लिलाभक्त आधारभूत विद्यालय (क),812,क्र.सं. 1 देखि 812 सम्म
बुढीगंगा गाउँपालिका,2,3280,12004,लिलाभक्त आधारभूत विद्यालय (ख),812,क्र.सं. 813 देखि 1624 सम्म
बुढीगंगा गाउँपालिका,2,3280,12004,लिलाभक्त आधारभूत विद्यालय (ग),812,क्र.सं. 1625 देखि 2436 सम्म
बुढीगंगा गाउँपालिका,2,3280,12004,लिलाभक्त आधारभूत विद्यालय (घ),844,क्र.सं. 2437 देखि 3280 सम्म
बुढीगंगा गाउँपालिका,3,2911,5609,वडा नं. ३ को कार्यालय बुढीगंगा गा.पा. (क),952,क्र.सं. 1 देखि 952 सम्म
बुढीगंगा गाउँपालिका,3,2911,5609,वडा नं. ३ को कार्यालय बुढीगंगा गा.पा. (ख),952,क्र.सं. 953 देखि 1904 सम्म
बुढीगंगा गाउँपालिका,3,2911,5609,वडा नं. ३ को कार्यालय बुढीगंगा गा.पा. (ग),1007,क्र.सं. 1905 देखि 2911 सम्म
बुढीगंगा गाउँपालिका,3,2652,5614,जनप्रिय मा.वि. बांसवारी (क),868,क्र.सं. 1 देखि 868 सम्म
बुढीगंगा गाउँपालिका,3,2652,5614,जनप्रिय मा.वि. बांसवारी (ख),868,क्र.सं. 869 देखि 1736 सम्म
बुढीगंगा गाउँपालिका,3,2652,5614,जनप्रिय मा.वि. बांसवारी (ग),916,क्र.सं. 1737 देखि 2652 सम्म
बुढीगंगा गाउँपालिका,4,1372,5630,गोकुवा आधारभूत विद्यालय गोकुवा (क),672,क्र.सं. 1 देखि 672 सम्म
बुढीगंगा गाउँपालिका,4,1372,5630,गोकुवा आधारभूत विद्यालय गोकुवा (ख),700,क्र.सं. 673 देखि 1372 सम्म
बुढीगंगा गाउँपालिका,4,2396,5635,सरस्वती सदन आ. वि. नेमुवा (क),784,क्र.सं. 1 देखि 784 सम्म
बुढीगंगा गाउँपालिका,4,2396,5635,सरस्वती सदन आ. वि. नेमुवा (ख),784,क्र.सं. 785 देखि 1568 सम्म
बुढीगंगा गाउँपालिका,4,2396,5635,सरस्वती सदन आ. वि. नेमुवा (ग),828,क्र.सं. 1569 देखि 2396 सम्म
बुढीगंगा गाउँपालिका,5,2402,5627,बुढीगंगा गाउँपालिकाको कार्यालय (क),784,क्र.सं. 1 देखि 784 सम्म
बुढीगंगा गाउँपालिका,5,2402,5627,बुढीगंगा गाउँपालिकाको कार्यालय (ख),784,क्र.सं. 785 देखि 1568 सम्म
बुढीगंगा गाउँपालिका,5,2402,5627,बुढीगंगा गाउँपालिकाको कार्यालय (ग),834,क्र.सं. 1569 देखि 2402 सम्म
बुढीगंगा गाउँपालिका,5,1419,10377,कर्मवीर मा.वि. (क),700,क्र.सं. 1 देखि 700 सम्म
बुढीगंगा गाउँपालिका,5,1419,10377,कर्मवीर मा.वि. (ख),719,क्र.सं. 701 देखि 1419 सम्म
बुढीगंगा गाउँपालिका,6,2635,5567,सरस्वती मा.वि. कडेरुवा (क),868,क्र.सं. 1 देखि 868 सम्म
बुढीगंगा गाउँपालिका,6,2635,5567,सरस्वती मा.वि. कडेरुवा (ख),868,क्र.सं. 869 देखि 1736 सम्म
बुढीगंगा गाउँपालिका,6,2635,5567,सरस्वती मा.वि. कडेरुवा (ग),899,क्र.सं. 1737 देखि 2635 सम्म
बुढीगंगा गाउँपालिका,6,1588,5575,नारायण मा.वि. सुकचर (क),784,क्र.सं. 1 देखि 784 सम्म
बुढीगंगा गाउँपालिका,6,1588,5575,नारायण मा.वि. सुकचर (ख),804,क्र.सं. 785 देखि 1588 सम्म
बुढीगंगा गाउँपालिका,7,1326,5571,ज्ञानोदय आधारभूत विद्यालय वडहरा (क),644,क्र.सं. 1 देखि 644 सम्म
बुढीगंगा गाउँपालिका,7,1326,5571,ज्ञानोदय आधारभूत विद्यालय वडहरा (ख),682,क्र.सं. 645 देखि 1326 सम्म
बुढीगंगा गाउँपालिका,7,1164,5584,सर्वहितैषी आधारभूत विद्यालयकमलपुर (क),560,क्र.सं. 1 देखि 560 सम्म
बुढीगंगा गाउँपालिका,7,1164,5584,सर्वहितैषी आधारभूत विद्यालयकमलपुर (ख),604,क्र.सं. 561 देखि 1164 सम्म
बुढीगंगा गाउँपालिका,7,1525,5588,लक्ष्मी मा.वि. शनिहाट (क),756,क्र.सं. 1 देखि 756 सम्म
बुढीगंगा गाउँपालिका,7,1525,5588,लक्ष्मी मा.वि. शनिहाट (ख),769,क्र.सं. 757 देखि 1525 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (क),1064,क्र.सं. 1 देखि 1064 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ख),1064,क्र.सं. 1065 देखि 2128 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ग),1064,क्र.सं. 2129 देखि 3192 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (घ),1064,क्र.सं. 3193 देखि 4256 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ङ),1064,क्र.सं. 4257 देखि 5320 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (च),1064,क्र.सं. 5321 देखि 6384 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (छ),1064,क्र.सं. 6385 देखि 7448 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ज),1036,क्र.सं. 7449 देखि 8484 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (झ),1036,क्र.सं. 8485 देखि 9520 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ञ),1036,क्र.सं. 9521 देखि 10556 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ट),1036,क्र.सं. 10557 देखि 11592 सम्म
विराटनगर महानगरपालिका,4,12630,5655,श्री आधारभूत विद्यालय कञ्चनवारी (ठ),1038,क्र.सं. 11593 देखि 12630 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (क),1064,क्र.सं. 1 देखि 1064 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (ख),1064,क्र.सं. 1065 देखि 2128 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (ग),1036,क्र.सं. 2129 देखि 3164 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (घ),1036,क्र.सं. 3165 देखि 4200 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (ङ),1036,क्र.सं. 4201 देखि 5236 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (च),1036,क्र.सं. 5237 देखि 6272 सम्म
विराटनगर महानगरपालिका,5,7298,5658,आधारभूत विद्यालय कोचाखाल (छ),1026,क्र.सं. 6273 देखि 7298 सम्म
विराटनगर महानगरपालिका,5,2783,5665,वडा नं. ५ को कार्यालय कोचाखाल (क),924,क्र.सं. 1 देखि 924 सम्म
विराटनगर महानगरपालिका,5,2783,5665,वडा नं. ५ को कार्यालय कोचाखाल (ख),924,क्र.सं. 925 देखि 1848 सम्म
विराटनगर महानगरपालिका,5,2783,5665,वडा नं. ५ को कार्यालय कोचाखाल (ग),935,क्र.सं. 1849 देखि 2783 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (क),980,क्र.सं. 1 देखि 980 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ख),980,क्र.सं. 981 देखि 1960 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ग),980,क्र.सं. 1961 देखि 2940 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (घ),980,क्र.सं. 2941 देखि 3920 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ङ),980,क्र.सं. 3921 देखि 4900 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (च),980,क्र.सं. 4901 देखि 5880 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (छ),980,क्र.सं. 5881 देखि 6860 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ज),980,क्र.सं. 6861 देखि 7840 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (झ),980,क्र.सं. 7841 देखि 8820 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ञ),980,क्र.सं. 8821 देखि 9800 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ट),980,क्र.सं. 9801 देखि 10780 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ठ),1008,क्र.सं. 10781 देखि 11788 सम्म
विराटनगर महानगरपालिका,6,12811,5667,शिक्षा सदन मा.वि. (ड),1023,क्र.सं. 11789 देखि 12811 सम्म
विराटनगर महानगरपालिका,7,2636,5542,बालिका मा.वि. सहिद रंगशाला (क),868,क्र.सं. 1 देखि 868 सम्म
विराटनगर महानगरपालिका,7,2636,5542,बालिका मा.वि. सहिद रंगशाला (ख),868,क्र.सं. 869 देखि 1736 सम्म
विराटनगर महानगरपालिका,7,2636,5542,बालिका मा.वि. सहिद रंगशाला (ग),900,क्र.सं. 1737 देखि 2636 सम्म
विराटनगर महानगरपालिका,7,1231,5674,सत्यनारायण मा.वि. धरान रोड (क),588,क्र.सं. 1 देखि 588 सम्म
विराटनगर महानगरपालिका,7,1231,5674,सत्यनारायण मा.वि. धरान रोड (ख),643,क्र.सं. 589 देखि 1231 सम्म
विराटनगर महानगरपालिका,7,1667,5677,आदर्श मा.वि. (क),812,क्र.सं. 1 देखि 812 सम्म
विराटनगर महानगरपालिका,7,1667,5677,आदर्श मा.वि. (ख),855,क्र.सं. 813 देखि 1667 सम्म
विराटनगर महानगरपालिका,9,3983,5551,सरस्वती मा.वि. (क),980,क्र.सं. 1 देखि 980 सम्म
विराटनगर महानगरपालिका,9,3983,5551,सरस्वती मा.वि. (ख),980,क्र.सं. 981 देखि 1960 सम्म
विराटनगर महानगरपालिका,9,3983,5551,सरस्वती मा.वि. (ग),1008,क्र.सं. 1961 देखि 2968 सम्म
विराटनगर महानगरपालिका,9,3983,5551,सरस्वती मा.वि. (घ),1015,क्र.सं. 2969 देखि 3983 सम्म
विराटनगर महानगरपालिका,9,2734,5681,आन्तरिक राजश्व कार्यालय ट्राफिक चोक (क),896,क्र.सं. 1 देखि 896 सम्म
विराटनगर महानगरपालिका,9,2734,5681,आन्तरिक राजश्व कार्यालय ट्राफिक चोक (ख),896,क्र.सं. 897 देखि 1792 सम्म
विराटनगर महानगरपालिका,9,2734,5681,आन्तरिक राजश्व कार्यालय ट्राफिक चोक (ग),942,क्र.सं. 1793 देखि 2734 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (क),1008,क्र.सं. 1 देखि 1008 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (ख),1008,क्र.सं. 1009 देखि 2016 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (ग),1008,क्र.सं. 2017 देखि 3024 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (घ),1008,क्र.सं. 3025 देखि 4032 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (ङ),1036,क्र.सं. 4033 देखि 5068 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (च),1036,क्र.सं. 5069 देखि 6104 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (छ),1036,क्र.सं. 6105 देखि 7140 सम्म
विराटनगर महानगरपालिका,11,8183,5687,जनपथ मा.वि. जनपथटोल (ज),1043,क्र.सं. 7141 देखि 8183 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (क),1064,क्र.सं. 1 देखि 1064 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (ख),1064,क्र.सं. 1065 देखि 2128 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (ग),1064,क्र.सं. 2129 देखि 3192 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (घ),1064,क्र.सं. 3193 देखि 4256 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (ङ),1064,क्र.सं. 4257 देखि 5320 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (च),1064,क्र.सं. 5321 देखि 6384 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (छ),1064,क्र.सं. 6385 देखि 7448 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (ज),1064,क्र.सं. 7449 देखि 8512 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (झ),1064,क्र.सं. 8513 देखि 9576 सम्म
विराटनगर महानगरपालिका,12,10617,5354,महेन्द्र मोरङ आदर्श बहुमुखी क्याम्पस (ञ),1041,क्र.सं. 9577 देखि 10617 सम्म
सुन्दरहरैंचा नगरपालिका,2,2874,5708,श्री मा.वि. मृगौलियाबजार (क),952,क्र.सं. 1 देखि 952 सम्म
सुन्दरहरैंचा नगरपालिका,2,2874,5708,श्री मा.वि. मृगौलियाबजार (ख),952,क्र.सं. 953 देखि 1904 सम्म
सुन्दरहरैंचा नगरपालिका,2,2874,5708,श्री मा.वि. मृगौलियाबजार (ग),970,क्र.सं. 1905 देखि 2874 सम्म
सुन्दरहरैंचा नगरपालिका,2,2750,10403,नरसिंह आधारभूत विद्यालय मझुवा (क),896,क्र.सं. 1 देखि 896 सम्म
सुन्दरहरैंचा नगरपालिका,2,2750,10403,नरसिंह आधारभूत विद्यालय मझुवा (ख),924,क्र.सं. 897 देखि 1820 सम्म
सुन्दरहरैंचा नगरपालिका,2,2750,10403,नरसिंह आधारभूत विद्यालय मझुवा (ग),930,क्र.सं. 1821 देखि 2750 सम्म
सुन्दरहरैंचा नगरपालिका,3,3632,5697,जनता मा.वि. जुगुवा (क),896,क्र.सं. 1 देखि 896 सम्म
सुन्दरहरैंचा नगरपालिका,3,3632,5697,जनता मा.वि. जुगुवा (ख),896,क्र.सं. 897 देखि 1792 सम्म
सुन्दरहरैंचा नगरपालिका,3,3632,5697,जनता मा.वि. जुगुवा (ग),896,क्र.सं. 1793 देखि 2688 सम्म
सुन्दरहरैंचा नगरपालिका,3,3632,5697,जनता मा.वि. जुगुवा (घ),944,क्र.सं. 2689 देखि 3632 सम्म
सुन्दरहरैंचा नगरपालिका,3,2409,5700,श्रीखण्ड मा.वि. लोचनी (क),784,क्र.सं. 1 देखि 784 सम्म
सुन्दरहरैंचा नगरपालिका,3,2409,5700,श्रीखण्ड मा.वि. लोचनी (ख),812,क्र.सं. 785 देखि 1596 सम्म
सुन्दरहरैंचा नगरपालिका,3,2409,5700,श्रीखण्ड मा.वि. लोचनी (ग),813,क्र.सं. 1597 देखि 2409 सम्म
सुन्दरहरैंचा नगरपालिका,4,3529,5693,सरस्वती आधारभूत विद्यालय चरगुवा (क),868,क्र.सं. 1 देखि 868 सम्म
सुन्दरहरैंचा नगरपालिका,4,3529,5693,सरस्वती आधारभूत विद्यालय चरगुवा (ख),868,क्र.सं. 869 देखि 1736 सम्म
सुन्दरहरैंचा नगरपालिका,4,3529,5693,सरस्वती आधारभूत विद्यालय चरगुवा (ग),896,क्र.सं. 1737 देखि 2632 सम्म
सुन्दरहरैंचा नगरपालिका,4,3529,5693,सरस्वती आधारभूत विद्यालय चरगुवा (घ),897,क्र.सं. 2633 देखि 3529 सम्म
सुन्दरहरैंचा नगरपालिका,4,2960,5695,वडा नं. ४ को कार्यालय सुन्दरहरैंचा न.पा. (क),980,क्र.सं. 1 देखि 980 सम्म
सुन्दरहरैंचा नगरपालिका,4,2960,5695,वडा नं. ४ को कार्यालय सुन्दरहरैंचा न.पा. (ख),980,क्र.सं. 981 देखि 1960 सम्म
सुन्दरहरैंचा नगरपालिका,4,2960,5695,वडा नं. ४ को कार्यालय सुन्दरहरैंचा न.पा. (ग),1000,क्र.सं. 1961 देखि 2960 सम्म
सुन्दरहरैंचा नगरपालिका,5,1761,5774,श्रीलाल आधारभूत विद्यालय लाटीझोडा (क),868,क्र.सं. 1 देखि 868 सम्म
सुन्दरहरैंचा नगरपालिका,5,1761,5774,श्रीलाल आधारभूत विद्यालय लाटीझोडा (ख),893,क्र.सं. 869 देखि 1761 सम्म
सुन्दरहरैंचा नगरपालिका,5,4587,5776,जनसेवा आधारभूत विद्यालय खोिस (क),896,क्र.सं. 1 देखि 896 सम्म
सुन्दरहरैंचा नगरपालिका,5,4587,5776,जनसेवा आधारभूत विद्यालय खोिस (ख),896,क्र.सं. 897 देखि 1792 सम्म
सुन्दरहरैंचा नगरपालिका,5,4587,5776,जनसेवा आधारभूत विद्यालय खोिस (ग),924,क्र.सं. 1793 देखि 2716 सम्म
सुन्दरहरैंचा नगरपालिका,5,4587,5776,जनसेवा आधारभूत विद्यालय खोिस (घ),924,क्र.सं. 2717 देखि 3640 सम्म
सुन्दरहरैंचा नगरपालिका,5,4587,5776,जनसेवा आधारभूत विद्यालय खोिस (ङ),947,क्र.सं. 3641 देखि 4587 सम्म
सुन्दरहरैंचा नगरपालिका,6,1960,5769,गछिया आधारभूत विद्यालय कुलटोल (क),980,क्र.सं. 1 देखि 980 सम्म
सुन्दरहरैंचा नगरपालिका,6,1960,5769,गछिया आधारभूत विद्यालय कुलटोल (ख),980,क्र.सं. 981 देखि 1960 सम्म
सुन्दरहरैंचा नगरपालिका,6,2687,5772,श्रीज्योति मा.वि. तनपैनी (क),868,क्र.सं. 1 देखि 868 सम्म
सुन्दरहरैंचा नगरपालिका,6,2687,5772,श्रीज्योति मा.वि. तनपैनी (ख),896,क्र.सं. 869 देखि 1764 सम्म
सुन्दरहरैंचा नगरपालिका,6,2687,5772,श्रीज्योति मा.वि. तनपैनी (ग),923,क्र.सं. 1765 देखि 2687 सम्म
सुन्दरहरैंचा नगरपालिका,6,2742,5778,हरिदेव आधारभूत विद्यालय पूर्वफमरा (क),896,क्र.सं. 1 देखि 896 सम्म
सुन्दरहरैंचा नगरपालिका,6,2742,5778,हरिदेव आधारभूत विद्यालय पूर्वफमरा (ख),896,क्र.सं. 897 देखि 1792 सम्म
सुन्दरहरैंचा नगरपालिका,6,2742,5778,हरिदेव आधारभूत विद्यालय पूर्वफमरा (ग),950,क्र.सं. 1793 देखि 2742 सम्म
सुन्दरहरैंचा नगरपालिका,7,4197,5704,पंचायत मा.वि. गोठगाउँ (क),1064,क्र.सं. 1 देखि 1064 सम्म
सुन्दरहरैंचा नगरपालिका,7,4197,5704,पंचायत मा.वि. गोठगाउँ (ख),1036,क्र.सं. 1065 देखि 2100 सम्म
सुन्दरहरैंचा नगरपालिका,7,4197,5704,पंचायत मा.वि. गोठगाउँ (ग),1036,क्र.सं. 2101 देखि 3136 सम्म
सुन्दरहरैंचा नगरपालिका,7,4197,5704,पंचायत मा.वि. गोठगाउँ (घ),1061,क्र.सं. 3137 देखि 4197 सम्म
सुन्दरहरैंचा नगरपालिका,7,2802,5767,सािजलाल आधारभूत विद्यालय गछिया (क),924,क्र.सं. 1 देखि 924 सम्म
सुन्दरहरैंचा नगरपालिका,7,2802,5767,सािजलाल आधारभूत विद्यालय गछिया (ख),924,क्र.सं. 925 देखि 1848 सम्म
सुन्दरहरैंचा नगरपालिका,7,2802,5767,सािजलाल आधारभूत विद्यालय गछिया (ग),954,क्र.सं. 1849 देखि 2802 सम्म